 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
9,613585_dorsal_d1,0.052423135,0.012377155,33306,0.001715582,22.62741696,0.095662064,0.017933776,0.001054928,0.00055087,0.047299212,0.010380559,0.054634533,0.01344805,0.067036082,0.017827614,0.086460123,0.021328226,0.052423135,0.012377155
10,613585_dorsal_d2,0.053086436,0.011558709,31506,0.00167469,15.99999998,0.106452221,0.015731846,0.000925403,0.000537519,0.047721384,0.009606157,0.055394002,0.012841631,0.067781732,0.017005263,0.087153109,0.019312252,0.053086436,0.011558709
11,613585_dorsal_d3,0.05173513,0.0112969,33489,0.001818683,22.62741696,0.122246885,0.014877136,0.000875126,0.000585932,0.046060634,0.009291867,0.053900124,0.012314547,0.067510041,0.017372862,0.086818049,0.02071754,0.05173513,0.0112969
12,613585_side_w1,0.355284379,0.080884426,48037,0.017502831,63.99999983,0.115938706,0.150966241,0.008880367,0.00507134,0.284718954,0.066888521,0.342534308,0.075682838,0.423087804,0.096293372,0.556318628,0.119508889,0.355284379,0.080884426
13,613585_side_o1,0.043000999,0.015852387,6282,0.005432323,15.99999998,0.09514714,0.057093914,0.003358466,0.001176365,0.033739811,0.012725288,0.046515761,0.016782267,0.060561991,0.022788069,0.085230791,0.027865813,0.043000999,0.015852387
14,613585_ventral_b1,0.465484387,0.04851448,32220,0.005783431,90.50966773,0.100062072,0.057798435,0.003399908,0.001445952,0.491037332,0.05207101,0.469569158,0.050551839,0.376670761,0.042365411,0.367677253,0.043248585,0.465484387,0.04851448
15,613585_ventral_b2,0.5156246,0.030459989,32220,0.004040756,22.62741696,0.093376933,0.043273605,0.002545506,0.000947184,0.532450942,0.034683798,0.515718972,0.035444375,0.435679864,0.035016588,0.471976373,0.053035084,0.5156246,0.030459989
16,613585_ventral_b3,0.39782448,0.039266772,32761,0.006311056,63.99999983,0.120752457,0.052264414,0.003074377,0.001714173,0.398786772,0.042027794,0.399976784,0.042248954,0.358729086,0.036014581,0.373372092,0.027351733,0.39782448,0.039266772
17,613585_ventral_t1,0.034001937,0.007245901,200964,0.00871182,90.50966773,0.124308575,0.070082213,0.004122483,0.003246401,0.03280042,0.007766741,0.035672343,0.008240643,0.044303484,0.01019737,0.045915736,0.009542902,0.034001937,0.007245901
18,613586_dorsal_d1,0.061933906,0.012068383,32942,0.002065727,22.62741696,0.125315387,0.016484221,0.00096966,0.000637357,0.056222105,0.009933735,0.064595169,0.013032457,0.075475963,0.015926749,0.09942317,0.022606325,0.061933906,0.012068383
19,613586_dorsal_d2,0.057883649,0.0088615,32580,0.001388426,22.62741696,0.121457298,0.011431391,0.000672435,0.000438262,0.05376517,0.00780608,0.060354623,0.009882884,0.069631009,0.01199955,0.092423894,0.016339979,0.057883649,0.0088615
20,613586_dorsal_d3,0.061216163,0.00981343,32580,0.001261291,22.62741696,0.098617452,0.012789734,0.000752337,0.000377646,0.055750461,0.008509307,0.063895668,0.01071088,0.074340109,0.013519122,0.098669163,0.018755033,0.061216163,0.00981343
21,613586_side_w1,0.533195793,0.142975788,60434,0.032381259,63.99999983,0.125702105,0.257603159,0.015153127,0.00951425,0.543993855,0.148829334,0.530980218,0.142592616,0.454790533,0.114314048,0.521657454,0.125426799,0.533195793,0.142975788
22,613586_side_o1,0.080018342,0.05319091,7774,0.013830411,11.31370848,0.102517289,0.134908088,0.00793577,0.00398754,0.084931063,0.058808012,0.081666474,0.05367949,0.077777126,0.040192293,0.089747084,0.02235427,0.080018342,0.05319091
23,613586_ventral_b1,0.547155618,0.036059366,34040,0.005502657,22.62741696,0.111394179,0.04939807,0.002905769,0.001459162,0.562586448,0.036386052,0.541845943,0.038741047,0.470656225,0.042666164,0.527451191,0.060053074,0.547155618,0.036059366
24,613586_ventral_b2,0.563091477,0.036025959,32761,0.005279401,45.25483389,0.107986845,0.048889296,0.002875841,0.001577056,0.575416906,0.040165543,0.558723633,0.041054524,0.480703145,0.037142581,0.574470438,0.037400554,0.563091477,0.036025959
25,613586_ventral_b3,0.54719563,0.037679999,33306,0.004428928,63.99999983,0.086424113,0.051246441,0.003014497,0.001006548,0.552899414,0.041800022,0.5388296,0.04254089,0.480747807,0.037174267,0.591342,0.029264194,0.54719563,0.037679999
26,613586_ventral_t1,0.036238057,0.01075367,186306,0.001775476,45.25483389,0.081242193,0.021854109,0.001285536,0.000304453,0.035982168,0.012057059,0.038742779,0.011771409,0.041952997,0.011869352,0.048373198,0.010800914,0.036238057,0.01075367
27,613591_dorsal_d1,0.065245468,0.006153583,32580,0.000798197,7.999999992,0.110359668,0.007232687,0.000425452,0.000279465,0.058758622,0.006876983,0.06759999,0.007988456,0.080688216,0.011154274,0.107121053,0.008750493,0.065245468,0.006153583
28,613591_dorsal_d2,0.06500517,0.007229062,33306,0.000988385,11.31370848,0.108656055,0.009096457,0.000535086,0.000329973,0.056831424,0.006924302,0.067381753,0.008803311,0.083275818,0.013037249,0.108447565,0.012523228,0.06500517,0.007229062
29,613591_dorsal_d3,0.063574256,0.005904769,32942,0.000716333,5.656854245,0.102465413,0.00699097,0.000411234,0.000244821,0.058009742,0.006472602,0.065727013,0.00762949,0.078319314,0.011135575,0.103981902,0.008764184,0.063574256,0.005904769
30,613591_side_w1,0.512208245,0.121797381,64267,0.027183026,63.99999983,0.133810327,0.203145947,0.011949762,0.008597065,0.512430242,0.125549278,0.506641936,0.11994555,0.452687954,0.096172695,0.57619824,0.113343448,0.512208245,0.121797381
31,613591_side_o1,0.067157723,0.01887982,8725,0.011696161,15.99999998,0.105344997,0.111027206,0.006531012,0.003189889,0.068565858,0.021283723,0.069145818,0.01914905,0.070716964,0.015354315,0.095602728,0.020708653,0.067157723,0.01887982
32,613591_ventral_b1,0.438766497,0.055985737,33306,0.007798035,31.99999993,0.100448956,0.077631816,0.004566577,0.001792603,0.441909152,0.057302574,0.435081481,0.055500241,0.390248566,0.051200834,0.516479963,0.065495125,0.438766497,0.055985737
33,613591_ventral_b2,0.504899802,0.04448814,32580,0.006743752,45.25483389,0.116765479,0.057754676,0.003397334,0.001841835,0.509527981,0.048437745,0.501559139,0.047353278,0.439490478,0.03797588,0.551849005,0.036340047,0.504899802,0.04448814
34,613591_ventral_b3,0.407070575,0.056121152,32400,0.009456938,45.25483389,0.126823898,0.074567477,0.004386322,0.002647138,0.401787985,0.059427986,0.405214093,0.057210898,0.374328564,0.047101295,0.465591133,0.043649997,0.407070575,0.056121152
35,613591_ventral_t1,0.035423455,0.008000661,153713,0.009145721,127.9999996,0.151738548,0.060272892,0.003545464,0.002843274,0.034079448,0.008249321,0.037270334,0.008739841,0.045323787,0.010156112,0.049872786,0.011926693,0.035423455,0.008000661
36,613592_crown_c1,0.08111241,0.026311238,79621,0.003962165,31.99999993,0.079302311,0.04996279,0.002938988,0.000857604,0.068915583,0.024753995,0.085474291,0.026921012,0.095976235,0.029863251,0.159679111,0.071065022,0.08111241,0.026311238
37,613592_dorsal_d1,0.071077871,0.011840199,34223,0.001784722,2,0.12389472,0.014405147,0.000847362,0.000562312,0.066528844,0.013726659,0.073320639,0.012127406,0.083378028,0.012207095,0.110661552,0.02974297,0.071077871,0.011840199
38,613592_dorsal_d2,0.073185731,0.011331222,33487,0.001991469,2,0.162369465,0.012265047,0.000721473,0.000640267,0.067784086,0.013753186,0.075461205,0.011664622,0.087011518,0.011379873,0.112479418,0.033870158,0.073185731,0.011331222
39,613592_dorsal_d3,0.072616313,0.011830559,32942,0.001920165,2,0.121284932,0.01583185,0.000931285,0.000583264,0.06844623,0.013877043,0.075041782,0.012158363,0.083570065,0.011517278,0.112287269,0.027503483,0.072616313,0.011830559
40,613592_side_w1,0.440652307,0.104642134,38253,0.022367977,45.25483389,0.134957761,0.165740572,0.009749445,0.007123941,0.441330557,0.109306683,0.436962257,0.103765909,0.394268603,0.084997348,0.498803843,0.111281949,0.440652307,0.104642134
41,613592_side_o1,0.088842823,0.012290382,6133,0.007819988,15.99999998,0.115588079,0.067653929,0.003979643,0.002209075,0.095442934,0.015101327,0.090762966,0.013449611,0.082682985,0.011073782,0.110487977,0.013984859,0.088842823,0.012290382
42,613592_ventral_b1,0.528787769,0.040639684,33123,0.006583494,15.99999998,0.127157355,0.051774383,0.003045552,0.002268539,0.543083538,0.04186299,0.524363302,0.042887494,0.448372798,0.041548415,0.55193837,0.072067576,0.528787769,0.040639684
43,613592_ventral_b2,0.516116948,0.038496686,32942,0.006138011,31.99999993,0.123773006,0.049590872,0.00291711,0.001960419,0.535986281,0.041948273,0.517453366,0.041238278,0.422937676,0.036989011,0.501304712,0.039499426,0.516116948,0.038496686
44,613592_ventral_b3,0.386492531,0.042150374,31506,0.00594234,22.62741696,0.107529883,0.055262216,0.003250719,0.001996033,0.384192575,0.043455409,0.384448284,0.043864833,0.354557234,0.039294648,0.447440249,0.037617153,0.386492531,0.042150374
45,613592_ventral_t1,0.037870648,0.011412604,132238,0.006293909,127.9999996,0.128897912,0.048828636,0.002872273,0.001679872,0.037371463,0.012269164,0.039427213,0.012201127,0.047241978,0.011738857,0.049860634,0.011625152,0.037870648,0.011412604
46,613593_crown_c1,0.078899896,0.021797118,91294,0.003362238,15.99999998,0.088744648,0.037886661,0.002228627,0.000811421,0.064759254,0.017203027,0.083926143,0.022438944,0.094830515,0.030246038,0.17667989,0.048337549,0.078899896,0.021797118
47,613593_dorsal_d1,0.076675311,0.010533263,32399,0.001742888,2,0.145156127,0.012006992,0.000706294,0.000572376,0.070493783,0.008469175,0.079563749,0.011495378,0.089292303,0.016187978,0.119331087,0.012672557,0.076675311,0.010533263
48,613593_dorsal_d2,0.080373852,0.010741015,32942,0.001758082,2.828427124,0.138683447,0.012676945,0.000745703,0.000601921,0.074019649,0.008838932,0.083426906,0.011746784,0.092519048,0.016342766,0.125843704,0.01403224,0.080373852,0.010741015
49,613593_dorsal_d3,0.078305762,0.009761948,32220,0.001597332,2,0.144916789,0.011022411,0.000648377,0.000544968,0.071677246,0.008060944,0.08132682,0.010718626,0.091232406,0.015532697,0.122209067,0.011864642,0.078305762,0.009761948
50,613593_side_w1,0.312478914,0.068613977,21712,0.016163388,45.25483389,0.133371466,0.121190749,0.007128868,0.004793827,0.312443063,0.07008293,0.315385329,0.071062553,0.281783218,0.057835634,0.348944283,0.055622086,0.312478914,0.068613977
51,613593_side_o1,0.079906026,0.01469303,21727,0.006338885,22.62741696,0.096336373,0.065799496,0.003870559,0.001598489,0.085747136,0.017119678,0.082338149,0.016880588,0.073743592,0.012398006,0.096714875,0.012480043,0.079906026,0.01469303
52,613593_ventral_b1,0.470034875,0.044581826,32580,0.006258203,22.62741696,0.104320904,0.059989919,0.003528819,0.001838862,0.482479125,0.047393365,0.475973181,0.045940741,0.384056896,0.039930974,0.466038744,0.061878768,0.470034875,0.044581826
53,613593_ventral_b2,0.41512607,0.061059446,34223,0.007777187,45.25483389,0.096935937,0.080230173,0.004719422,0.002270765,0.419870202,0.063770569,0.419571645,0.061917458,0.350350662,0.052065596,0.471548567,0.071392871,0.41512607,0.061059446
54,613593_ventral_b3,0.392660941,0.033515745,33306,0.005193801,45.25483389,0.117353581,0.044257716,0.002603395,0.001488766,0.396385783,0.037269006,0.398702268,0.036179713,0.334880929,0.029054929,0.385422085,0.036737638,0.392660941,0.033515745
55,613593_ventral_t1,0.037216757,0.00627779,206776,0.004388766,181.0193354,0.164375505,0.026699633,0.001570567,0.001255905,0.036442643,0.007025486,0.039041655,0.007045886,0.046221366,0.008185587,0.052659555,0.010699927,0.037216757,0.00627779
56,613594_crown_c1,0.075168738,0.030239141,112277,0.003663855,2,0.077213635,0.047450887,0.002791229,0.000758629,0.061627879,0.026752319,0.080390481,0.033141481,0.089550357,0.030363885,0.156604878,0.045318075,0.075168738,0.030239141
57,613594_dorsal_d1,0.067108491,0.011182972,34410,0.001695608,15.99999998,0.107572119,0.015762526,0.000927207,0.000473158,0.061478442,0.010092314,0.069621913,0.011967095,0.0807347,0.013756429,0.107408522,0.02465109,0.067108491,0.011182972
58,613594_dorsal_d2,0.063482068,0.010252409,35156,0.001405629,15.99999998,0.099488526,0.014128555,0.000831091,0.000449615,0.057988267,0.009440929,0.066010545,0.011078542,0.077006914,0.012690901,0.100341138,0.027093876,0.063482068,0.010252409
59,613594_dorsal_d3,0.059666945,0.009234923,33306,0.00131131,7.999999992,0.103170245,0.012710153,0.000747656,0.00044606,0.0550517,0.008815817,0.062175514,0.010034463,0.072113225,0.011333652,0.090689936,0.023146008,0.059666945,0.009234923
60,613594_side_w1,0.435843594,0.105280781,50950,0.023340539,63.99999983,0.127542572,0.183001947,0.01076482,0.007325345,0.432657488,0.109459986,0.43357122,0.104242488,0.392169922,0.085432655,0.511359081,0.112994117,0.435843594,0.105280781
61,613594_side_o1,0.053984181,0.008604167,2357,0.005079229,11.31370848,0.104918139,0.048411351,0.002847727,0.001328854,0.051876663,0.008410833,0.055737555,0.009456028,0.064972557,0.010878558,0.080550054,0.015304321,0.053984181,0.008604167
62,613594_ventral_b1,0.513219043,0.051217277,33856,0.007579586,45.25483389,0.110072839,0.068859727,0.004050572,0.002401072,0.525697023,0.054045512,0.512658541,0.051976001,0.431795686,0.044448135,0.531461681,0.066044782,0.513219043,0.051217277
63,613594_ventral_b2,0.437842829,0.031843438,32040,0.005386865,31.99999993,0.118137003,0.045598455,0.002682262,0.001537321,0.438141177,0.034991083,0.435439398,0.034740943,0.389830032,0.029646628,0.514381515,0.036218334,0.437842829,0.031843438
64,613594_ventral_b3,0.42179252,0.036696153,35531,0.004569126,11.31370848,0.089988324,0.050774652,0.002986744,0.001381564,0.418097081,0.039234981,0.41818059,0.038463926,0.382674859,0.033555658,0.515646369,0.047992893,0.42179252,0.036696153
65,613594_ventral_t1,0.031118206,0.004709254,179136,0.008091691,127.9999996,0.169873223,0.047633706,0.002801983,0.002632968,0.030269498,0.005337816,0.032659322,0.005573842,0.041479369,0.007491344,0.04203459,0.007234805,0.031118206,0.004709254
66,613597_crown_c1,0.085082549,0.030755076,85225,0.004682033,63.99999983,0.081393213,0.05752363,0.003383743,0.000933129,0.068392515,0.025559497,0.088689706,0.033846275,0.108454736,0.038625111,0.186261434,0.050298021,0.085082549,0.030755076
67,613597_dorsal_d1,0.07913381,0.008650613,33672,0.000912806,45.25483389,0.082632958,0.011046512,0.000649795,0.000244437,0.071343321,0.008772348,0.080885334,0.010269122,0.096680681,0.013609263,0.12045711,0.013404802,0.07913381,0.008650613
68,613597_dorsal_d2,0.08038694,0.006475681,32580,0.000721567,2,0.096623406,0.007467826,0.000439284,0.000250343,0.071472636,0.006849814,0.082476476,0.008621895,0.098774726,0.012600304,0.123948325,0.01127055,0.08038694,0.006475681
69,613597_dorsal_d3,0.077444594,0.006594074,33487,0.000742488,2,0.100153657,0.007413489,0.000436088,0.000276961,0.069935755,0.00713708,0.079355922,0.008541159,0.09432704,0.012274451,0.116046167,0.009901567,0.077444594,0.006594074
70,613597_side_w1,0.349164365,0.127195779,66993,0.01996439,63.99999983,0.099124133,0.201407969,0.011847528,0.006359913,0.352858052,0.129227421,0.351751073,0.128155053,0.311506619,0.103696352,0.381534452,0.12354201,0.349164365,0.127195779
71,613597_side_o1,0.098098184,0.009571261,8725,0.003363589,127.9999996,0.088903382,0.037834203,0.002225541,0.000908029,0.099895279,0.011481541,0.099983282,0.010539989,0.098528427,0.009673993,0.121941075,0.010242307,0.098098184,0.009571261
72,613597_ventral_b1,0.443719709,0.040403806,31152,0.004536808,63.99999983,0.086926209,0.052191488,0.003070088,0.000998344,0.465439285,0.043897208,0.445835224,0.04313925,0.370266076,0.034989787,0.386120337,0.041550493,0.443719709,0.040403806
73,613597_ventral_b2,0.424740969,0.049508073,34782,0.007692465,45.25483389,0.113676205,0.067669965,0.003980586,0.002230404,0.435981158,0.054073593,0.4237767,0.05194644,0.372154957,0.040437966,0.452549593,0.02916975,0.424740969,0.049508073
74,613597_ventral_b3,0.35105868,0.037670691,32761,0.006120289,45.25483389,0.126853376,0.048246956,0.002838056,0.001889029,0.360367888,0.04199731,0.353443308,0.04030512,0.309129939,0.030752757,0.332283576,0.018666895,0.35105868,0.037670691
75,613597_ventral_t1,0.05390088,0.012010529,157126,0.005474958,127.9999996,0.122705973,0.044618516,0.002624619,0.00145154,0.049045819,0.012665455,0.055217938,0.013047577,0.069292791,0.013320948,0.062764482,0.011862057,0.05390088,0.012010529
76,613598_crown_c1,0.077599132,0.024183539,100816,0.003964983,90.50966773,0.098685864,0.040177824,0.002363401,0.001118391,0.062411057,0.02407906,0.081998381,0.026203439,0.096721317,0.024763483,0.158101551,0.050613032,0.077599132,0.024183539
77,613598_dorsal_d1,0.071513501,0.005108547,32942,0.000644821,3.999999998,0.107781186,0.005982688,0.000351923,0.000240236,0.06425797,0.00529038,0.073309561,0.006266319,0.088367644,0.008758817,0.105791345,0.008007798,0.071513501,0.005108547
78,613598_dorsal_d2,0.074795269,0.006455683,36290,0.000850651,5.656854245,0.104057715,0.008174801,0.000480871,0.000247571,0.067502165,0.006245781,0.076669296,0.007497286,0.091479748,0.00977494,0.111952211,0.010076747,0.074795269,0.006455683
79,613598_dorsal_d3,0.074871964,0.007927923,30800,0.000959279,31.99999993,0.091617416,0.010470484,0.000615911,0.000323903,0.068786589,0.00870697,0.076658453,0.008663792,0.089758263,0.009772747,0.111986506,0.012430562,0.074871964,0.007927923
80,613598_side_w1,0.478101769,0.11113004,66400,0.02525701,63.99999983,0.124323904,0.203154898,0.011950288,0.007989154,0.490813018,0.117881059,0.479991436,0.112530274,0.406900054,0.083228504,0.493870318,0.102939152,0.478101769,0.11113004
81,613598_side_o1,0.06613943,0.007076645,13324,0.011808815,22.62741696,0.123169177,0.09587476,0.005639692,0.00354407,0.062345003,0.008436185,0.067007843,0.007855831,0.081159646,0.008496003,0.083843367,0.007922007,0.06613943,0.007076645
82,613598_ventral_t1,0.047425793,0.006341221,186073,0.007077914,181.0193354,0.160158265,0.04419325,0.002599603,0.002077321,0.042380903,0.007142175,0.048640874,0.007330905,0.064097238,0.008555064,0.058522214,0.008196888,0.047425793,0.006341221
83,613598_ventral_b1,0.417650207,0.039502972,32040,0.005752488,63.99999983,0.114985726,0.050027842,0.002942814,0.001378335,0.441447511,0.045279888,0.42419487,0.04267225,0.33368782,0.029789813,0.366955356,0.039285236,0.417650207,0.039502972
84,613598_ventral_b2,0.421929281,0.039790661,38416,0.005681243,45.25483389,0.108128255,0.052541704,0.003090688,0.001288954,0.432351264,0.04368131,0.424853336,0.042580831,0.363893235,0.032493289,0.434726907,0.024050542,0.421929281,0.039790661
85,613598_ventral_b3,0.365428961,0.045020964,35721,0.005217245,63.99999983,0.087992329,0.05929204,0.003487767,0.000959537,0.372648148,0.048374899,0.367905106,0.0474174,0.321970003,0.03591354,0.380251991,0.03264925,0.365428961,0.045020964