,lumMean_b,lumMean_v,lumSD_b,lumSD_v,lwMean_b,lwMean_v,lwSD_b,lwSD_v,mwMean_b,mwMean_v,mwSD_b,mwSD_v,swMean_b,swMean_v
lumMean_b,1,0.801122074,0.281243709,0.633023354,0.997942435,0.776135924,0.313722317,0.640730831,0.995818379,0.783745894,0.278299468,0.628316958,0.986586887,0.830165751
lumMean_v,0.801122074,1,0.119783728,0.359974633,0.814240912,0.996964969,0.168911387,0.381731534,0.786094777,0.995066685,0.112989161,0.338095565,0.799080186,0.985747352
lumSD_b,0.281243709,0.119783728,1,0.778789384,0.282533649,0.133599313,0.996809844,0.763262946,0.221520207,0.044777345,0.999252793,0.777996948,0.368935859,0.214690077
lumSD_v,0.633023354,0.359974633,0.778789384,1,0.640401782,0.367020148,0.786103801,0.997757161,0.576951414,0.281353843,0.767581355,0.999155039,0.703341869,0.465727503
lwMean_b,0.997942435,0.814240912,0.282533649,0.640401782,1,0.793289374,0.317996058,0.651182209,0.992216947,0.795793274,0.27928937,0.635239626,0.982419991,0.840801251
lwMean_v,0.776135924,0.996964969,0.133599313,0.367020148,0.793289374,1,0.184628439,0.390708849,0.757720524,0.989997398,0.126570698,0.344535363,0.775595717,0.979549118
lwSD_b,0.313722317,0.168911387,0.996809844,0.786103801,0.317996058,0.184628439,1,0.77342252,0.253396731,0.094152722,0.996230863,0.783904761,0.397637263,0.259650725
lwSD_v,0.640730831,0.381731534,0.763262946,0.997757161,0.651182209,0.390708849,0.77342252,1,0.585264102,0.303963697,0.751992732,0.996988765,0.706941191,0.484607602
mwMean_b,0.995818379,0.786094777,0.221520207,0.576951414,0.992216947,0.757720524,0.253396731,0.585264102,1,0.776873364,0.220217045,0.574260522,0.969758083,0.805706074
mwMean_v,0.783745894,0.995066685,0.044777345,0.281353843,0.795793274,0.989997398,0.094152722,0.303963697,0.776873364,1,0.039712265,0.260554801,0.769454044,0.966929209
mwSD_b,0.278299468,0.112989161,0.999252793,0.767581355,0.27928937,0.126570698,0.996230863,0.751992732,0.220217045,0.039712265,1,0.767630002,0.363004124,0.205017937
mwSD_v,0.628316958,0.338095565,0.777996948,0.999155039,0.635239626,0.344535363,0.783904761,0.996988765,0.574260522,0.260554801,0.767630002,1,0.695523349,0.443146014
swMean_b,0.986586887,0.799080186,0.368935859,0.703341869,0.982419991,0.775595717,0.397637263,0.706941191,0.969758083,0.769454044,0.363004124,0.695523349,1,0.848195887
swMean_v,0.830165751,0.985747352,0.214690077,0.465727503,0.840801251,0.979549118,0.259650725,0.484607602,0.805706074,0.966929209,0.205017937,0.443146014,0.848195887,1