,lumMean_d,lumMean_f,lumSD_d,lumSD_f,lwMean_d,lwMean_f,lwSD_d,lwSD_f,mwMean_d,mwMean_f,mwSD_d,mwSD_f,swMean_d
lumMean_d,1,0.988910516,0.371032188,0.333848728,0.985983883,0.988495661,0.309417309,0.264527863,0.998409236,0.990695082,0.377241475,0.342244557,0.939826069
lumMean_f,0.988910516,1,0.36701718,0.341526802,0.959570802,0.982265564,0.317136424,0.286613483,0.984922889,0.99796988,0.374896617,0.351195754,0.959812573
lumSD_d,0.371032188,0.36701718,1,0.987749443,0.336607167,0.361444835,0.934443049,0.904528997,0.349938288,0.346209787,0.998206448,0.985075581,0.473241265
lumSD_f,0.333848728,0.341526802,0.987749443,1,0.297915755,0.330970605,0.938122051,0.931902553,0.309354656,0.316287974,0.988568789,0.99828542,0.451942138
lwMean_d,0.985983883,0.959570802,0.336607167,0.297915755,1,0.989601889,0.28868281,0.239845897,0.986158605,0.9639296,0.339210844,0.302379355,0.880001921
lwMean_f,0.988495661,0.982265564,0.361444835,0.330970605,0.989601889,1,0.329217636,0.29064044,0.985706147,0.982352732,0.364916131,0.335866643,0.911904985
lwSD_d,0.309417309,0.317136424,0.934443049,0.938122051,0.28868281,0.329217636,1,0.987809816,0.277528718,0.284075565,0.922827683,0.923245002,0.434600407
lwSD_f,0.264527863,0.286613483,0.904528997,0.931902553,0.239845897,0.29064044,0.987809816,1,0.229308403,0.249007151,0.895738097,0.91837474,0.40974871
mwMean_d,0.998409236,0.984922889,0.349938288,0.309354656,0.986158605,0.985706147,0.277528718,0.229308403,1,0.990263487,0.355776624,0.317790924,0.924889266
mwMean_f,0.990695082,0.99796988,0.346209787,0.316287974,0.9639296,0.982352732,0.284075565,0.249007151,0.990263487,1,0.35350783,0.3258697,0.945521657
mwSD_d,0.377241475,0.374896617,0.998206448,0.988568789,0.339210844,0.364916131,0.922827683,0.895738097,0.355776624,0.35350783,1,0.98927727,0.485246349
mwSD_f,0.342244557,0.351195754,0.985075581,0.99828542,0.302379355,0.335866643,0.923245002,0.91837474,0.317790924,0.3258697,0.98927727,1,0.46479819
swMean_d,0.939826069,0.959812573,0.473241265,0.451942138,0.880001921,0.911904985,0.434600407,0.40974871,0.924889266,0.945521657,0.485246349,0.46479819,1